case,family,source,method,path,duration,ratio,rho,run,samples,embedded_samples,dimension,delay,target_recurrence_rate,theiler,epsilon,rr,det,lam,mean_diag,max_diag,max_diag_fraction,divergence,mean_vertical,max_vertical,diag_entropy,spectral_entropy,dominant_power_fraction,top5_power_fraction,neighbor_divergence_slope,neighbor_divergence_r2,neighbor_divergence_gain,neighbor_initial_distance,chaos_score,broadband_chaos_score,class,behaviour_family
ratio1_rho4_run03,triaxial_1_0p8_0p6,triaxial_exact,exact_added_mass,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_nd2\ratio1_rho4_run03\exact_added_mass.csv,99.9999999999453,1.0,4.0,3,2001.0,1981.0,3.0,10.0,0.03,50.0,1.3877517649933835,0.030000295157010113,0.9999463356170509,0.9998121746596784,48.27288428324698,1860.0,0.93891973750631,0.0005376344086021505,14.166138638955772,20.0,3.934875867632407,0.16794735182205225,0.45752711043352384,0.9973598020690407,0.06646356655479162,0.73253125773678,0.21427017654322467,0.43518314871707026,0.11573056523064636,0.10687558752312415,periodic,periodic
ratio1_rho4_run04,triaxial_1_0p8_0p6,triaxial_exact,exact_added_mass,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_nd2\ratio1_rho4_run04\exact_added_mass.csv,99.9999999999453,1.0,4.0,4,2001.0,1981.0,3.0,10.0,0.03,50.0,1.0451161454701356,0.030000295157010113,0.9998211187235032,0.9994096917875606,41.34097633136095,144.0,0.07269056032306916,0.006944444444444444,11.505354200988467,18.0,4.540065850297573,0.18937612917284238,0.4132534988239508,0.9695242590238953,0.44566620753177155,0.9265334727273191,1.5770485383770212,0.28697894671742197,0.555845824758939,0.3254123562411135,sensitive-regular,regular
ratio1_rho4_run05,triaxial_1_0p8_0p6,triaxial_exact,exact_added_mass,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_nd2\ratio1_rho4_run05\exact_added_mass.csv,99.9999999999453,1.0,4.0,5,2001.0,1981.0,3.0,10.0,0.03,50.0,0.7195460325666051,0.030000295157010113,0.9999105593617517,0.9991234817451657,40.535170413343,185.0,0.0933871781928319,0.005405405405405406,9.099706744868035,15.0,4.511136909613703,0.14534410617854449,0.646034161274715,0.9915412865956058,0.3207324293102083,0.9256666299817341,1.2500946657466028,0.22306358512549582,0.5094652240539115,0.2646690554377744,sensitive-regular,regular
ratio20_rho0p25_run01,triaxial_1_0p8_0p6,triaxial_exact,exact_added_mass,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_nd2\ratio20_rho0p25_run01\exact_added_mass.csv,99.9999999999453,20.0,0.25,1,2001.0,1981.0,3.0,10.0,0.03,50.0,1.17704707448421,0.030000295157010113,0.9992129223834141,0.9986315582347995,23.381749686061113,389.0,0.19636547198384655,0.002570694087403599,8.697748695178001,20.0,3.9974546740806765,0.2371069772223003,0.5262607978199989,0.9099179430742251,0.2266417017679274,0.8391885321200311,0.8561875004191587,0.48105420044915376,0.43572113351056974,0.31233042183827564,chaotic-like,chaotic-candidate
ratio20_rho0p25_run02,triaxial_1_0p8_0p6,triaxial_exact,exact_added_mass,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_nd2\ratio20_rho0p25_run02\exact_added_mass.csv,99.9999999999453,20.0,0.25,2,2001.0,1981.0,3.0,10.0,0.03,50.0,1.4358671943470174,0.030000295157010113,0.9990340411069173,0.998050194086185,19.903421240199574,224.0,0.11307420494699646,0.004464285714285714,7.89779885342204,22.0,3.8387350047719075,0.48755352658619544,0.14942719900630602,0.39832137058072303,0.40006755380058684,0.9685097586294229,1.4919991535281216,0.5561474019899033,0.8642179865388928,0.8660328309778091,chaotic-like,chaotic-candidate
ratio20_rho0p25_run03,triaxial_1_0p8_0p6,triaxial_exact,exact_added_mass,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_nd2\ratio20_rho0p25_run03\exact_added_mass.csv,99.9999999999453,20.0,0.25,3,2001.0,1981.0,3.0,10.0,0.03,50.0,1.9260404935394824,0.030000295157010113,0.9984079566391786,0.998157522852083,14.98764769065521,154.0,0.07773851590106007,0.006493506493506494,8.646470907259626,55.0,3.5323264292738705,0.5630643015343086,0.07816013002223808,0.2733096579824968,0.33154730987237013,0.8868856429383106,1.3727394976838407,0.8074330465575507,0.92226148409894,0.9352179034157833,chaotic-like,chaotic-candidate
ratio20_rho0p25_run04,triaxial_1_0p8_0p6,triaxial_exact,exact_added_mass,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_nd2\ratio20_rho0p25_run04\exact_added_mass.csv,99.9999999999453,20.0,0.25,4,2001.0,1981.0,3.0,10.0,0.03,50.0,1.8685144486103265,0.030000295157010113,0.9984079566391786,0.9972005080228252,15.413974040320353,150.0,0.0757193336698637,0.006666666666666667,7.840576652601969,19.0,3.568831750713084,0.5224201488140267,0.11432483800313674,0.376837647598528,0.3886261698080032,0.9110815006488571,1.4830740934309916,0.7498527751618383,0.9142516295352369,0.9193497408840396,chaotic-like,chaotic-candidate
ratio20_rho0p25_run05,triaxial_1_0p8_0p6,triaxial_exact,exact_added_mass,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_nd2\ratio20_rho0p25_run05\exact_added_mass.csv,99.9999999999453,20.0,0.25,5,2001.0,1981.0,3.0,10.0,0.03,50.0,0.9230712506510469,0.030000295157010113,0.9891240183889952,0.9953133105557841,9.148742554599602,178.0,0.08985360928823827,0.0056179775280898875,9.036297198538367,42.0,2.465456017788202,0.1907738446999792,0.43290478405575655,0.9327557008253522,0.36065105644064727,0.9850649425661047,1.2029386587442366,0.3088123074548379,0.5621713848595453,0.3487678289707996,chaotic-like,chaotic-candidate
ratio1_rho4_run01,spheroid_1_0p7_0p7,spheroid_nd2,impulse_nd2,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_spheroid_1_0p7_0p7_nd2\ratio1_rho4_run01\single_body_complete.dat,99.99999999999646,1.0,4.0,1,2001.0,1981.0,3.0,10.0,0.03,50.0,0.5980976085931081,0.030000295157010113,0.9998747831064523,0.9991860901919396,63.518181818181816,1812.0,0.9146895507319536,0.0005518763796909492,9.05234583907301,13.0,4.343045180147524,0.13099095521891604,0.5498275548547801,0.9985880915102574,0.14171730701942825,0.9771904022076283,0.473521989309998,0.1539327530145657,0.1658439270657743,0.08335788059385565,periodic,periodic
ratio1_rho4_run02,spheroid_1_0p7_0p7,spheroid_nd2,impulse_nd2,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_spheroid_1_0p7_0p7_nd2\ratio1_rho4_run02\single_body_complete.dat,99.99999999999646,1.0,4.0,2,2001.0,1981.0,3.0,10.0,0.03,50.0,0.7370905054524856,0.030000295157010113,0.9998390068511529,0.9989535445324937,58.101871101871104,1849.0,0.93336698637052,0.0005408328826392645,8.598737393178844,12.0,4.121049496977132,0.13139012703817596,0.616404340333404,0.9991507886921946,0.031636598758765525,0.5947092387462095,0.1260151390737203,0.1774343845531999,0.07619804130063697,0.08361189902429378,periodic,periodic
ratio1_rho4_run03,spheroid_1_0p7_0p7,spheroid_nd2,impulse_nd2,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_spheroid_1_0p7_0p7_nd2\ratio1_rho4_run03\single_body_complete.dat,99.99999999999646,1.0,4.0,3,2001.0,1981.0,3.0,10.0,0.03,50.0,0.9358553550076493,0.030000295157010113,0.9999284474894012,0.9990877054898664,62.041065482796895,1864.0,0.9409389197375063,0.000536480686695279,9.417755669842341,13.0,3.8495629438213212,0.13665284986801138,0.47979084934138055,0.9992942846197274,0.0063267203120966975,0.3875998714515595,0.04244846115072365,0.2607235163834194,0.057100151677670304,0.08696090446146178,periodic,periodic
ratio1_rho4_run04,spheroid_1_0p7_0p7,spheroid_nd2,impulse_nd2,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_spheroid_1_0p7_0p7_nd2\ratio1_rho4_run04\single_body_complete.dat,99.99999999999646,1.0,4.0,4,2001.0,1981.0,3.0,10.0,0.03,50.0,0.5963387796833651,0.030000295157010113,0.999892671234102,0.9984884532136021,64.1756601607348,1858.0,0.9379101463907118,0.0005382131324004305,6.588585930122758,9.0,3.916526967633809,0.1272355581297455,0.6478047200905737,0.9995766458074843,-9.751313982433387e-05,0.0006388673173755022,0.013301148862479906,0.10954569538378754,0.047597590569791806,0.08096808244620167,periodic,periodic
ratio1_rho4_run05,spheroid_1_0p7_0p7,spheroid_nd2,impulse_nd2,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_spheroid_1_0p7_0p7_nd2\ratio1_rho4_run05\single_body_complete.dat,99.99999999999646,1.0,4.0,5,2001.0,1981.0,3.0,10.0,0.03,50.0,0.6561354386541579,0.030000295157010113,0.9999642237447006,0.9990966495536913,57.80868665977249,1826.0,0.9217566885411408,0.000547645125958379,9.210504617414248,13.0,4.122425393765376,0.13337372955825125,0.5027695356146393,0.9983426529828522,0.1471196254323934,0.9762339089282919,0.49363337567698107,0.17540276354946238,0.1714226883050771,0.08487419153706897,periodic,periodic
ratio20_rho0p25_run01,spheroid_1_0p7_0p7,spheroid_nd2,impulse_nd2,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_spheroid_1_0p7_0p7_nd2\ratio20_rho0p25_run01\single_body_complete.dat,99.99999999999646,20.0,0.25,1,2001.0,1981.0,3.0,10.0,0.03,50.0,1.0595568018372166,0.030000295157010113,0.9993381392769619,0.9978444806182137,64.43598615916954,1810.0,0.9136799596163554,0.0005524861878453039,6.86384889873262,10.0,3.0428658463409914,0.17771192552159754,0.5881117309802212,0.9917426476682224,0.0006756449298503777,0.7964745605382489,0.0012645287321968457,0.1950783117317457,0.06508679370963488,0.11308940715010751,periodic,periodic
ratio20_rho0p25_run02,spheroid_1_0p7_0p7,spheroid_nd2,impulse_nd2,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_spheroid_1_0p7_0p7_nd2\ratio20_rho0p25_run02\single_body_complete.dat,99.99999999999646,20.0,0.25,2,2001.0,1981.0,3.0,10.0,0.03,50.0,1.1670334758231653,0.030000295157010113,0.9995885730640574,0.9972631164695991,60.41081081081081,1819.0,0.9182231196365472,0.0005497526113249038,7.2421408157963105,10.0,2.8185027850779303,0.19500588489057863,0.5086296332909502,0.9846688317587401,-0.0001502516241788524,0.003791433015491341,-0.0031752436503327264,0.2530428612293811,0.07111821102008875,0.12442582226253718,periodic,periodic
