family,suite,epsilon,n_runs,n_complete,n_ok,n_body_observations,group_class,repeat_classes,body_broadband_chaos_score_mean,body_chaos_score_mean,body_spectral_entropy_mean,mean_max_abs_ke_drift_pct,mean_min_separation,mean_max_impulse_global_p_drift,mean_max_impulse_global_h_drift,n_periodic,n_quasi-periodic,n_sensitive-regular,n_complex-regular,n_chaotic-like,n_chaotic,n_chaotic-candidate,n_ambiguous,n_mixed,n_incomplete
spheroid_prolate,heterogeneous_aspherical,0.003,10,10,10,20,periodic,periodic;periodic;periodic;quasi-periodic;periodic;quasi-periodic;periodic;quasi-periodic;periodic;quasi-periodic;periodic;periodic;periodic;periodic;periodic;quasi-periodic;periodic;quasi-periodic;periodic;periodic,0.146271694476,0.119880999863,0.24778693493,1.01052952719,7.65645530498,5.61824939192e-09,0.00711213597575,14,6,0,0,0,0,0,0,0,0
spheroid_prolate,heterogeneous_aspherical,0.01,10,10,10,20,periodic,periodic;periodic;periodic;quasi-periodic;periodic;quasi-periodic;periodic;periodic;periodic;quasi-periodic;periodic;quasi-periodic;periodic;periodic;periodic;periodic;periodic;periodic;periodic;quasi-periodic,0.155065114682,0.128181071516,0.263604142815,0.901266751311,6.62850472781,6.56508360103e-09,0.0042845878807,15,5,0,0,0,0,0,0,0,0
spheroid_prolate,heterogeneous_aspherical,0.03,10,10,10,20,periodic,periodic;quasi-periodic;periodic;periodic;periodic;periodic;quasi-periodic;periodic;periodic;quasi-periodic;periodic;periodic;periodic;quasi-periodic;quasi-periodic;quasi-periodic;periodic;quasi-periodic;periodic;quasi-periodic,0.153830880202,0.126812213367,0.262471905311,0.899071452297,6.94475805426,5.36641428117e-09,0.00490993613353,12,8,0,0,0,0,0,0,0,0
spheroid_prolate,heterogeneous_aspherical,0.1,10,10,10,20,periodic,quasi-periodic;quasi-periodic;periodic;periodic;periodic;quasi-periodic;quasi-periodic;periodic;periodic;periodic;quasi-periodic;quasi-periodic;periodic;quasi-periodic;periodic;periodic;periodic;periodic;periodic;quasi-periodic,0.171644679329,0.136337666184,0.292273785436,0.820240882551,6.62945766451,5.06186676089e-09,0.00602146073672,12,8,0,0,0,0,0,0,0,0
spheroid_prolate,heterogeneous_aspherical,0.3,10,10,10,20,periodic,periodic;quasi-periodic;periodic;quasi-periodic;quasi-periodic;periodic;quasi-periodic;quasi-periodic;periodic;periodic;quasi-periodic;quasi-periodic;quasi-periodic;periodic;periodic;periodic;quasi-periodic;periodic;periodic;quasi-periodic,0.179990051344,0.144472128628,0.306316754565,0.764293587315,7.50706425507,5.21412668667e-09,0.00507251547154,10,10,0,0,0,0,0,0,0,0
spheroid_prolate,heterogeneous_aspherical,1.0,10,9,9,18,quasi-periodic,quasi-periodic;quasi-periodic;periodic;quasi-periodic;quasi-periodic;quasi-periodic;quasi-periodic;quasi-periodic;periodic;quasi-periodic;periodic;periodic;quasi-periodic;quasi-periodic;periodic;quasi-periodic;periodic;periodic,0.191118680912,0.155111739621,0.323496459653,0.976748168508,7.34321937052,4.84369228597e-09,0.0112358697923,7,11,0,0,0,0,0,0,0,0
spheroid_prolate,heterogeneous_sphere,0.0,10,10,10,20,chaotic-like,chaotic-like;chaotic-like;quasi-periodic;quasi-periodic;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like,0.76465826015,0.75610833651,0.517520163801,153.740103154,7.99993306377,1.79685463533e-09,0.0734396931055,0,2,0,0,18,0,0,0,0,0
spheroid_prolate,heterogeneous_sphere,0.0001,10,10,10,20,mixed,chaotic-like;chaotic-like;quasi-periodic;periodic;quasi-periodic;periodic;chaotic-like;chaotic-like;chaotic-like;chaotic-like;quasi-periodic;periodic;periodic;periodic;periodic;quasi-periodic;quasi-periodic;periodic;chaotic-like;chaotic-like,0.443110103045,0.424428396287,0.38450394537,104.666007379,7.98702417702,6.0221407835e-09,0.0241849779848,7,5,0,0,8,0,0,0,0,0
spheroid_prolate,heterogeneous_sphere,0.0003,10,10,10,20,mixed,periodic;periodic;chaotic-like;quasi-periodic;periodic;periodic;chaotic-like;quasi-periodic;periodic;quasi-periodic;chaotic-like;chaotic-like;periodic;periodic;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like,0.470996895135,0.442462576441,0.393756043822,75.9345440883,7.96445744573,9.48822857708e-09,0.0290853109985,7,3,0,0,10,0,0,0,0,0
spheroid_prolate,heterogeneous_sphere,0.001,10,10,10,20,mixed,chaotic-like;chaotic-like;chaotic-like;chaotic-like;quasi-periodic;chaotic-like;chaotic-like;chaotic-like;quasi-periodic;periodic;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;quasi-periodic;periodic;periodic;chaotic-like;chaotic-like,0.606396763253,0.591574989079,0.455142473584,101.884186095,7.96504723411,1.856814774e-08,0.0375078539216,3,3,0,0,14,0,0,0,0,0
