index,name,shape_name,rho,energy_ratio,separation,repeat,solver_mode,ndiv,dt,tend,input,output
40,ellipsoid_1_0p8_0p6_rho10_E0p55_sep11_run05_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.55,11.0,5,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep11_run05_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep11_run05_impulse_noproj/multiple_body_complete.dat
41,ellipsoid_1_0p8_0p6_rho10_E1p5_sep3_run01_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,1.5,3.0,1,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E1p5_sep3_run01_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E1p5_sep3_run01_impulse_noproj/multiple_body_complete.dat
42,ellipsoid_1_0p8_0p6_rho10_E1p5_sep3_run02_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,1.5,3.0,2,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E1p5_sep3_run02_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E1p5_sep3_run02_impulse_noproj/multiple_body_complete.dat
43,ellipsoid_1_0p8_0p6_rho10_E1p5_sep3_run03_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,1.5,3.0,3,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E1p5_sep3_run03_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E1p5_sep3_run03_impulse_noproj/multiple_body_complete.dat
44,ellipsoid_1_0p8_0p6_rho10_E1p5_sep3_run04_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,1.5,3.0,4,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E1p5_sep3_run04_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E1p5_sep3_run04_impulse_noproj/multiple_body_complete.dat
45,ellipsoid_1_0p8_0p6_rho10_E1p5_sep3_run05_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,1.5,3.0,5,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E1p5_sep3_run05_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E1p5_sep3_run05_impulse_noproj/multiple_body_complete.dat
46,ellipsoid_1_0p8_0p6_rho10_E1p5_sep5_run01_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,1.5,5.0,1,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E1p5_sep5_run01_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E1p5_sep5_run01_impulse_noproj/multiple_body_complete.dat
47,ellipsoid_1_0p8_0p6_rho10_E1p5_sep5_run02_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,1.5,5.0,2,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E1p5_sep5_run02_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E1p5_sep5_run02_impulse_noproj/multiple_body_complete.dat
48,ellipsoid_1_0p8_0p6_rho10_E1p5_sep5_run03_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,1.5,5.0,3,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E1p5_sep5_run03_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E1p5_sep5_run03_impulse_noproj/multiple_body_complete.dat
49,ellipsoid_1_0p8_0p6_rho10_E1p5_sep5_run04_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,1.5,5.0,4,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E1p5_sep5_run04_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E1p5_sep5_run04_impulse_noproj/multiple_body_complete.dat
50,ellipsoid_1_0p8_0p6_rho10_E1p5_sep5_run05_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,1.5,5.0,5,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E1p5_sep5_run05_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E1p5_sep5_run05_impulse_noproj/multiple_body_complete.dat
51,ellipsoid_1_0p8_0p6_rho10_E1p5_sep8_run01_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,1.5,8.0,1,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E1p5_sep8_run01_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E1p5_sep8_run01_impulse_noproj/multiple_body_complete.dat
52,ellipsoid_1_0p8_0p6_rho10_E1p5_sep8_run02_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,1.5,8.0,2,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E1p5_sep8_run02_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E1p5_sep8_run02_impulse_noproj/multiple_body_complete.dat
